user,waktu,review,label,clean_text,prediksi_model
Padi Homestay,3 bulan lalu,"Viewnya Bagus dengan hawa sejuk dan Segar, viewnya luas dengan hamparan pegunungan berjajar, kalau ke sini bisa mencoba Nanas Fresh dari kebun Manis Banget segar, apalagi di cocol dengan sambal rujak, istimewa, untuk ke Kawah Kelud …",positif,viewnya bagus dengan hawa sejuk dan segar viewnya luas dengan hampar gunung jajar kalau ke sini bisa coba nanas fresh dari kebun manis banget segar apalagi di cocol dengan sambal rujak istimewa untuk ke kawah kelud,positif
Adi Suryawan,7 bulan lalu,"Gunung Kelud, pengunjungnya baru pertama kali dengan Tanggal Sembilan Belas Bulan Juli Tahun Dua Puluh Dua Puluh Lima. Ke Kawah Gunung Kelud menggunakan naik ojek dari Tempat Parkir Kendaraan Roda Empat atau Mobil dengan tarifnya Empat …",negatif,gunung kelud unjung baru pertama kali dengan tanggal sembilan belas bulan juli tahun dua puluh dua puluh lima ke kawah gunung kelud guna naik ojek dari tempat parkir kendara roda empat atau mobil dengan tarif empat,negatif
nicky minaj,10 bulan lalu,"Tempat Wisata andalan Kediri, gunung ini lumayan bagus ya, bisa bersaing dengan Gunung Ijen di Banyuwangi.
Dari tempat parkir utama, bisa jalan kaki atau hiking ke puncaknya, treknya …",positif,tempat wisata andal diri gunung ini lumayan bagus ya bisa saing dengan gunung ijen di banyuwangi dari tempat parkir utama bisa jalan kaki atau hiking ke puncak trek,positif
murni nikma,11 bulan lalu,"Masuk gerbang 1 sepeda motor, 2 orang cuma 23k aja guys. Terus naik sampek mau pangkalan ojek tapi di pangkalan ojek juga ada orang jualan buat beli oleh*. Oleh* andalan disana nanas guys harga start 10k murmer bgt ga sih. Trs waktu kita …",negatif,masuk gerbang sepeda motor orang cuma k aja guys terus naik sampek mau pangkal ojek tapi di pangkal ojek juga ada orang jual buat beli oleh oleh andal sana nanas guys harga start k murmer bgt ga sih trs waktu kita,negatif
fahritzz0512,2 bulan lalu,"kawahnya cantik, tapi lebih cantik seseorang yang aku bawa kesini❤",positif,kawah cantik tapi lebih cantik orang yang aku bawa kesini,positif
Gilang Guinandra,6 bulan lalu,"Sangat cocok buat pemula, mengenalkan alam pegunungan kepada anak2, sebelum mencoba peGunungan yang lain ,👌🏻👍🏻 …",positif,sangat cocok buat mula kenal alam gunung kepada anak belum coba gunung yang lain,positif
Muhammad Zulfikri Febriansyah,setahun lalu,"Bagus tempatnya, akses nya juga lumayan mudah. Kalo mau ke kawah nya baru agak sulit bisa trekking sendiri atau pake ojek. Medannya buat ke kawah lumayan sulit, di akhir juga sempat full jalanan gragal. Cuma ya lumayan bagus. Harga ojek ke puncak 40ribu buat WNI. Turis WNA harganya kayaknya 50ribu. Itu udah PP",positif,bagus tempat akses nya juga lumayan mudah kalo mau ke kawah nya baru agak sulit bisa trekking sendiri atau pake ojek medan buat ke kawah lumayan sulit di akhir juga sempat full jalan gragal cuma ya lumayan bagus harga ojek ke puncak ribu buat wni turis wna harga kayak ribu itu udah pp,positif
Yustin Sofia,5 bulan lalu,"viewnya bagus bangettt, suka main kesini, apalagi mainnya sama cowoku 💗 next time mau main kesini lagii …",positif,viewnya bagus bangettt suka main kesini apalagi main sama cowoku next time mau main kesini lagi,positif
Aqiel Mahda,7 bulan lalu,"track cocok untuk pemula, jadi tempat favorit untuk pemanasan pendakian",positif,track cocok untuk mula jadi tempat favorit untuk panas daki,positif
M. Fajar Wirayudha,setahun lalu,"Terakhir kali di puncak sini saat terakhir kali sebelum meletus tahun 2013. Selama ini hanya dari batas parkiran roda 4 saja,, ketika sampai sini pemandangannya bikin pangling tidak sama seperti dulu. Karena dulu ada tangga² ke puncak naga, tangga ke air panas, dsb. Semuanya hilang ditelan erupsi 2014🥲 …",negatif,akhir kali di puncak sini saat akhir kali belum letus tahun lama ini hanya dari batas parkir roda saja ketika sampai sini pandang bikin pangling tidak sama seperti dulu karena dulu ada tangga ke puncak naga tangga ke air panas dsb semua hilang tel erupsi,negatif
veronica louhenapessy,setahun lalu,"Datang ke sini pagi2 biar masih sepi, naik ojek bayarnya ga terlalu mahal. Ditungguin juga sampai selesai foto2. Sepanjang jalan viewnya cantik, sayang ojeknya ngebut banget. Harusnya bisa pelan2 biar menikmati pemandangan. …",negatif,datang ke sini pagi biar masih sepi naik ojek bayar ga terlalu mahal ditungguin juga sampai selesai foto panjang jalan viewnya cantik sayang ojek ngebut banget harus bisa pelan biar nikmat pandang,negatif
Rofiq Husnur,setahun lalu,"Gunung adalah pelampiasan terbaik saat kita berada di titik jenuh dan memerlukan semangat baru.
Gunung Kelud gunung yang sangat cocok buat tempat nyantai keindahannya juga masi asri dan indah cocok buat kalian"" Yang suka ngedate sama pasangan",positif,gunung adalah lampias baik saat kita ada di titik jenuh dan perlu semangat baru gunung kelud gunung yang sangat cocok buat tempat nyantai indah juga mas asri dan indah cocok buat kalian yang suka ngedate sama pasang,positif
Mochammad Ardiyansyah,10 bulan lalu,"Tempat nya keren
Mau sehat bisa jalan kaki
Mau nyaman ada kang ojek Rp 40k PP …",positif,tempat nya keren mau sehat bisa jalan kaki mau nyaman ada kang ojek rp k pp,positif
My Cookies Food Factory,9 bulan lalu,"Pemandangan yang sungguh indah. Momen tak terlupakan. Bagus untuk pemula. Untuk yang pertama kali ke gunung kelud , ada ojek motor untuk naik kekawah gunung keludnya. Pengalaman seru yang tak terlupakan",positif,pandang yang sungguh indah momen tak lupa bagus untuk mula untuk yang pertama kali ke gunung kelud ada ojek motor untuk naik kawah gunung keludnya alam seru yang tak lupa,positif
JALAN JALAN,10 bulan lalu,"Pemandangan cakep banget😍.
Disarankan datang pagi dibawah pukul 09.00wib..diatas jam itu biasa udah ketutup kabut. Soalnya pas berkunjung pagi cerah bagus banget.. Pas udh turun jam 8.30 …",positif,pandang cakep banget saran datang pagi bawah pukul wibdiatas jam itu biasa udah tutup kabut soal pas kunjung pagi cerah bagus banget pas udh turun jam,positif
Angga Setiawan,setahun lalu,"Salah satu wisata alam yang cukup mempesona disetiap bagiannya. Perjalanan dari solo kesini memang butuh perjuangan dan menguras waktu. Dibutuhkan 5-6 jam, tapi dengan Lewat JLS emang indah. Sampe sini jam 1 malam, tidur di masjid dekat …",positif,salah satu wisata alam yang cukup pesona tiap bagi jalan dari solo kesini memang butuh juang dan uras waktu butuh jam tapi dengan lewat jls emang indah sampe sini jam malam tidur di masjid dekat,positif
Ronny Santoso,setahun lalu,Gunung Kelud merupakan salah satu destinasi wisata alam yang sangat indah menawan dan luar biasa yang berlokasi di Kediri Jawa Timur. Sangat cocok untuk spot-spot foto yang sangat bagus. …,positif,gunung kelud rupa salah satu destinasi wisata alam yang sangat indah tawan dan luar biasa yang lokasi di diri jawa timur sangat cocok untuk spotspot foto yang sangat bagus,positif
anggayu Budi,setahun lalu,"-+3jam dari surabaya naik motor.
View yg bagus, akses jalan yg mudah. Ke gunung yg tk harus mendaki. Karna  ada ojek yg siap mengantar PP, sampai kawah hanya dg 40 rb( turis lokal) /50 rb( …",positif,jam dari surabaya naik motor view yg bagus akses jalan yg mudah ke gunung yg tk harus daki karna ada ojek yg siap antar pp sampai kawah hanya dg rb turis lokal rb,positif
Naufal Ridhwan Aly,setahun lalu,Naik lewat jalur wisata jadi bisa naik ojek. Harganya 20K kalo gasalah. Naik-turun sama tarifnya. Tapi gatau juga sih soalnya milih jalan tipis-tipis aja bareng temen 😁 meskipun harus agak minggir karena banyak ojek yang seliweran 🛵 …,negatif,naik lewat jalur wisata jadi bisa naik ojek harga k kalo gasalah naikturun sama tarif tapi gatau juga sih soal milih jalan tipistipis aja bareng temen meski harus agak minggir karena banyak ojek yang seliwer,negatif
Satya K.,setahun lalu,"Salah satu destinasi wisata top di Kediri. Sangat recommended ketika cuaca cerah dan tidak hujan, karena perjalanan dari area parkir menuju lokasi kawah memerlukan transportasi ojek lokal. Bagus untuk foto-foto atau bisa juga untuk latihan fisik/trail run dan semacamnya",positif,salah satu destinasi wisata top di diri sangat recommended ketika cuaca cerah dan tidak hujan karena jalan dari area parkir tuju lokasi kawah perlu transportasi ojek lokal bagus untuk fotofoto atau bisa juga untuk latih fisiktrail run dan macam,negatif
Ayuning Dian,11 bulan lalu,"Udah ke sekian kali ke Gunung Kelud dan ini yang paling menyenangkan karena akses jalannya udah bagus. Spot foto makin banyak dan cantik-cantik banget, Masya Allah. Semoga bisa ke sana lagi dalam keadaan sehat jasmani dan finansial. Hehehe. …",positif,udah ke sekian kali ke gunung kelud dan ini yang paling senang karena akses jalan udah bagus spot foto makin banyak dan cantikcantik banget masya allah moga bisa ke sana lagi dalam ada sehat jasmani dan finansial hehehe,positif
ulfi rifki,setahun lalu,"Gunung kelud berada di ketinggian 1731mdpl, termasuk dalam gunung vulkanik aktif.
Untuk mencapai puncak gunung ini sangat mudah. Cukup bawa kendaraan anda via …",positif,gunung kelud ada di tinggi mdpl masuk dalam gunung vulkanik aktif untuk capai puncak gunung ini sangat mudah cukup bawa kendara anda via,positif
Riska Ningrum,11 bulan lalu,"Salah satu destinasi wisata yg wajib dikunjungi bagi yg mampir ke kediri.. Pemandangan alam yg indah dan udara yg sejuk, sangat cocok untuk merefresh tubuh kita dari rutinitas sehari-hari. …",positif,salah satu destinasi wisata yg wajib kunjung bagi yg mampir ke diri pandang alam yg indah dan udara yg sejuk sangat cocok untuk merefresh tubuh kita dari rutinitas seharihari,positif
Nono Hary,3 bulan lalu,"Udaranya sangat sejuk...
Rekom kesini pagi sampai siang, menjelang sore kabut turun.",positif,udara sangat sejuk rekom kesini pagi sampai siang jelang sore kabut turun,positif
roful watik,2 bulan lalu,"Pemgalaman ke gunung kelud apik, menyenangkan, spotnya indah banget, tapi ada yg bikin deg deg seeer pas di bonceng sama abang2...ya allloh ngeerrrri banget turun2 pengen muntaj rasa.ne...tapi untuk semua spot jos jis...kediri lagi lho iki...",positif,pemgalaman ke gunung kelud apik senang spotnya indah banget tapi ada yg bikin deg deg seeer pas di bonceng sama abangya allloh ngeerrrri banget turun ken muntaj rasanetapi untuk semua spot jos jiskediri lagi lho iki,positif
Pena Destaviani MRamadhan,setahun lalu,"Salah satu tempat wisata rekomendasi di Jawa Timur.
Tiketnya cuma 10rb, kalau mau naik ojek bisa & terjangkau, pulang-pergi 40rb.",negatif,salah satu tempat wisata rekomendasi di jawa timur tiket cuma rb kalau mau naik ojek bisa jangkau pulangpergi rb,negatif
`Bo _Oi` (Amira najiha),5 bulan lalu,"main tangga roblox di rl seseru itu ya, tpi sygnya klo jatuh gk bisa respon lgi 😔 …",positif,main tangga roblox di rl seru itu ya tpi sygnya klo jatuh gk bisa respon lgi,positif
Mahany,setahun lalu,"Salah satu destinasi wisata yang keren di kota kediri Jawa Timur yang patut untuk dikunjungi. Tiket masuk Rp 10.000, parkir gratis. Untuk toilet dan mushola ada diparkir an saja. Jadi sebelum naik ke kawah lebih baik ke toilet dulu …",positif,salah satu destinasi wisata yang keren di kota diri jawa timur yang patut untuk kunjung tiket masuk rp parkir gratis untuk toilet dan mushola ada parkir an saja jadi belum naik ke kawah lebih baik ke toilet dulu,positif
Gustav Subagio,2 tahun lalu,"Gunung yang selalu berubah pemandangannya saat saya kunjungi. Karena selalu pasca letusan. Lokasi wisata yang mudah dijangkau aksesnya. Pemandangan sangat indah, namun perlu  diperbanyak proses reboisasi agar tidak terlihat gersang.",positif,gunung yang selalu ubah pandang saat saya kunjung karena selalu pasca letus lokasi wisata yang mudah jangkau akses pandang sangat indah namun perlu banyak proses reboisasi agar tidak lihat gersang,positif
E.ARI.N (Santuyingz),Diedit setahun lalu,"Random people bilang kalau anda plat AG agak aneh  kalau nggak pernah pergi ke kelud. Saran saya kesana waktu pagi atau sore hari, cari weekday kalau gak mau foto bocor, bebas mau naik ojek karena takut kalau capek dan karena gak punya waktu banyak atau jalan sendiri itung itung olahraga 😅 …",negatif,random people bilang kalau anda plat ag agak aneh kalau nggak pernah pergi ke kelud saran saya kesana waktu pagi atau sore hari cari weekday kalau gak mau foto bocor bebas mau naik ojek karena takut kalau capek dan karena gak punya waktu banyak atau jalan sendiri itung itung olahraga,negatif
Rahmat Arifudin 054,2 tahun lalu,"untuk gunung kelud dan keindahanya sungguh luar biasa. yang saya kecewakan adalah pengelolanya bayar 10rb + parkir 2rb, tpi saat sampai parkiran disuruh menata motor sendiri, kehilangan barang dimotor bukan tanggung jawab pengelola kan …",positif,untuk gunung kelud dan keindahanya sungguh luar biasa yang saya kecewa adalah kelola bayar rb parkir rb tpi saat sampai parkir suruh tata motor sendiri hilang barang motor bukan tanggung jawab kelola kan,positif
Jin Jagger,setahun lalu,"udah beberapa kali kesana cuma baru skrg review dan posting gambar

lokasi mudah diakses buat motor maupun mobil …",positif,udah beberapa kali kesana cuma baru skrg review dan posting gambar lokasi mudah akses buat motor maupun mobil,positif
Shella Wani,3 tahun lalu,"Destinasi wisata yang wajib dikunjungi ketika ke Kediri. Usahakan kalau kesana pas musim kemarau saja, karena kalau musim hujan jalanan jadi ekstrim dan cuma dapat pemandangan yang berkabut dan tidak terlihat sama sekali. …",negatif,destinasi wisata yang wajib kunjung ketika ke diri usaha kalau kesana pas musim kemarau saja karena kalau musim hujan jalan jadi ekstrim dan cuma dapat pandang yang kabut dan tidak lihat sama sekali,negatif
Rosemarie Jr,2 tahun lalu,"Kereen!

Kalau kesini kudu pagi2 dan jangan pas musim ujaan, kabutnya cepet turun tapi …",positif,kereen kalau kesini kudu pagi dan jangan pas musim ujaan kabut cepet turun tapi,positif
Andri Sutisna,2 tahun lalu,"Untuk pengalaman saya itu banyak tempat yang kurang ke urus, padahal kalo di urusin lagi lebih bagus, tapi untuk pemandangannya bagus
Untuk yang pengen ke kawah bisa naik ojek tinggal bayar 40.000 atau jalan kaki.",negatif,untuk alam saya itu banyak tempat yang kurang ke urus padahal kalo di urusin lagi lebih bagus tapi untuk pandang bagus untuk yang ken ke kawah bisa naik ojek tinggal bayar atau jalan kaki,positif
Nilla Putri Rosidania,2 tahun lalu,"Kalo kesini wajib banget buat lanjut ke kawah, bisa jalan kaki atau naik ojek. Harga 40k buat ojek tapi worth it!! pemandangan diatas bener2 bagus, kalo pengen nikmatin pemandangan yg lebih bagus dan masih kuat jalan kaki ±5km lebih baik jalan kaki, seru!!",positif,kalo kesini wajib banget buat lanjut ke kawah bisa jalan kaki atau naik ojek harga k buat ojek tapi worth it pandang atas bener bagus kalo ken nikmatin pandang yg lebih bagus dan masih kuat jalan kaki km lebih baik jalan kaki seru,positif
Nagacirebon21 Naga,2 bulan lalu,Adem bagus pemandangan,positif,adem bagus pandang,positif
Farid Muhammad Iqbal,setahun lalu,"Salah satu Gunung paling akftif yg ada di Indonesia yg terletak di kediri, gunung ini sangat bagus, penjual makanannya juga relatif murah, tapi sayang sekali kalau naik lebih ke atas harus naik ojek dengan alasan sudah ada paguyubanny, …",negatif,salah satu gunung paling akftif yg ada di indonesia yg letak di diri gunung ini sangat bagus jual makan juga relatif murah tapi sayang sekali kalau naik lebih ke atas harus naik ojek dengan alas sudah ada paguyubanny,negatif
AF Minion,2 tahun lalu,"Tempat wisata yg worth it banget buat dikunjungi. Untuk HTM cm 8rb dan 10rb di hari weekend, tambah 2rb buat parkir motor di dalem, dan untuk menuju ke puncak ada 2 pilihan yang pertama gratis kita jalan sendiri sampai ke kawah atau menyewa ojek, untuk ojeknya juga murah 30rb udah pp",negatif,tempat wisata yg worth it banget buat kunjung untuk htm cm rb dan rb di hari weekend tambah rb buat parkir motor di dalem dan untuk tuju ke puncak ada pilih yang pertama gratis kita jalan sendiri sampai ke kawah atau sewa ojek untuk ojek juga murah rb udah pp,negatif
Diyah Puspitaningrum,6 tahun lalu,"Jauuuhhh banget hahaha. Letaknya ada di kecamatan Ngancar Kabupaten Kediri. Dari simpang 5 gumul masih sekitar 1 jam perjalanan naik motor yang bisa nyelip2 ketika macet. Lokasi ini bisa ditempuh menggunakan motor atau mobil, sayangnya …",negatif,jauuuhhh banget hahaha letak ada di camat ngancar kabupaten diri dari simpang gumul masih sekitar jam jalan naik motor yang bisa nyelip ketika macet lokasi ini bisa tempuh guna motor atau mobil sayang,negatif
Hafizh Firmansyah,sebulan lalu,"Pemandangannya bagus, perjalanan nya banyak pilihan. Ada yang mudah dan ramah untuk orangtua",positif,pandang bagus jalan nya banyak pilih ada yang mudah dan ramah untuk orangtua,positif
Dwi Widiastuti,10 bulan lalu,Tempat wisata yg hrs dikunjungi pemandangannya bagus ......proses menuju ke lokasi jgenak ga begitu ekstrim ....abang² ojeknya jg ramah enak ......oleh² nanas keluarnya jg enak manis....,positif,tempat wisata yg hrs kunjung pandang bagus proses tuju ke lokasi jgenak ga begitu ekstrim abang ojek jg ramah enak oleh nanas keluar jg enak manis,positif
Lia Kanji,3 tahun lalu,"Eksotis sangat indah pemandangan jln untuk mobil tdk terlalu extreem namun untuk naik ke puncak ojeknya sangat uji adrenalin.
Di rest area mushola kamar mandi bersih banyak warung harga relatif murah sperti harga kaki lima tiket masuk per org 10rb
Untuk mobil 5rb",positif,eksotis sangat indah pandang jln untuk mobil tdk terlalu extreem namun untuk naik ke puncak ojek sangat uji adrenalin di rest area mushola kamar mandi bersih banyak warung harga relatif murah sperti harga kaki lima tiket masuk per org rb untuk mobil rb,positif
Winda Piglet,setahun lalu,"Kalo pengen ke Gunung tanpa mendaki ya Gunung Kelud ini pilihannya. Hehe. Bisa lihat kawahnya yg cantik tanpa perlu mendaki, cukup bayar ojek 30rb sudah sampai. Pemandangannya Indah bgt apalagi kalau waktu cerah",positif,kalo ken ke gunung tanpa daki ya gunung kelud ini pilih hehe bisa lihat kawah yg cantik tanpa perlu daki cukup bayar ojek rb sudah sampai pandang indah bgt apalagi kalau waktu cerah,positif
Rizkie Oktariansyah,7 tahun lalu,"Good place for you if you want to spend your time in Kediri. ..
Gunung Kelud merupakan salah satu tempat wisata di daerah Kediri, gunung ini erupsi pada tahun 2014 namun sekarang telah dibuka kembali. Pasca erupsi pada tahun …",positif,good place for you if you want to spend your time in diri gunung kelud rupa salah satu tempat wisata di daerah diri gunung ini erupsi pada tahun namun sekarang telah buka kembali pasca erupsi pada tahun,positif
Extivonus Fransiskus,7 tahun lalu,"Akses jalan menuju lokasi mudah, beberapa memang ada yang rusak, tapi overall masih bagus. Ada baiknya membawa motor/mobil dengan tenaga yang mumpuni, tapi sejauh ini kami memakai matic dan tidak masalah. Pemandangan bagus, terutama untuk …",positif,akses jalan tuju lokasi mudah beberapa memang ada yang rusak tapi overall masih bagus ada baik bawa motormobil dengan tenaga yang mumpuni tapi jauh ini kami pakai matic dan tidak masalah pandang bagus utama untuk,positif
Jai Haka,6 bulan lalu,"Agustus 2025 , HTM 10k/org, parkir mobil 5k, ojek PP 40k(parkiran motor Kelud-kawah Kelud)",negatif,agustus htm korg parkir mobil k ojek pp kparkiran motor keludkawah kelud,negatif
Hafidz Lukman Hakim,3 tahun lalu,"Gunung kecil yang cukup melelahkan, untuk mengunjungi basecamp tulungrejo dapat di tempuh dengan sepeda motor dan mobil yang jalanya sebagian rusak, setelah sampai pos kita registrasi sebesar 15k dan parkir 10k, ada juga jasa ojek sampai …",negatif,gunung kecil yang cukup lelah untuk unjung basecamp tulungrejo dapat di tempuh dengan sepeda motor dan mobil yang jala bagi rusak telah sampai pos kita registrasi besar k dan parkir k ada juga jasa ojek sampai,negatif
NeySha,2 tahun lalu,"Gak perlu capek2 naek gunung. Krna bs naek ojek 40rb sampai ke kawahnya gn.kelud. 😁
Pemandangannya sangat indah. Kita jg bs melewati inlet (terowongan) Ganesha. …",negatif,gak perlu capek naek gunung krna bs naek ojek rb sampai ke kawah gnkelud pandang sangat indah kita jg bs lewat inlet terowongan ganesha,negatif
Nidha Ul Khasanah,setahun lalu,"Untuk ukuran perjalanan ke gunung jalannya sangat bersahabat, tidak banyak kendaraan yg lalu lalang, jalan tidak terlalu berkelok2, tidak terlalu menanjak atau curam. Datang jam berapapun tetap rasanya sejuk saat di kawah. Paling suka beli nanas di Kelud rasanya sangat renyah, manis agak asam & segar dengan harga yg sangat terjangkau.",positif,untuk ukur jalan ke gunung jalan sangat sahabat tidak banyak kendara yg lalu lalang jalan tidak terlalu kelok tidak terlalu tanjak atau curam datang jam berapa tetap rasa sejuk saat di kawah paling suka beli nanas di kelud rasa sangat renyah manis agak asam segar dengan harga yg sangat jangkau,positif
Arma Ima Sahata,8 tahun lalu,"Bagi traveler yang menyukai keindahan alam maka Gunung kelud adalah opsi yang bisa dijadikan pilihanhan.
Dari arah surabaya paling enak lewat ngoro kemudian kediri baru ke arah Blitar …",positif,bagi traveler yang suka indah alam maka gunung kelud adalah opsi yang bisa jadi pilihanhan dari arah surabaya paling enak lewat ngoro kemudian diri baru ke arah blitar,positif
Otnay91,7 tahun lalu,"Pemandangan cukup bagus & indah, dari pusat kota jaraknya lumayan sekitar 1jam lebih, untuk menuju kesana jalannya juga sudah aspalan semua jadi aksesnya gampang. Untuk puncak belum sampek karena pas kesana udah siang jd ga kuat panasnya, & …",positif,pandang cukup bagus indah dari pusat kota jarak lumayan sekitar jam lebih untuk tuju kesana jalan juga sudah aspal semua jadi akses gampang untuk puncak belum sampek karena pas kesana udah siang jd ga kuat panas,positif
NUB PROJECT,Diedit 2 tahun lalu,salah satu gunung yang harus kalian kunjungi rek. pemandangannya bagus dan nggak perlu banyak effort sampai ke kawahnya. …,positif,salah satu gunung yang harus kalian kunjung rek pandang bagus dan nggak perlu banyak effort sampai ke kawah,positif
Muhammad Akbar Firdaus,6 tahun lalu,"[Just Info]
Gunung dengan tinggi 1731 MDPL ini cocok buat hikers awam yang mau cobain rasanya sensasi naik gunung . …",positif,just info gunung dengan tinggi mdpl ini cocok buat hikers awam yang mau cobain rasa sensasi naik gunung,positif
Nur Ika Liana,Diedit 8 tahun lalu,"Jalur wisata berada di Kediri. Untuk saat ini, kawah Kelud hanya dapat diakses melalui jalur pendakian baik itu Tulungrejo ataupun Karangrejo. Pendakian disarankan melewati Tulungrejo karena sudah ada pos pendakian. Di sana pendaki dapat …",positif,jalur wisata ada di diri untuk saat ini kawah kelud hanya dapat akses lalu jalur daki baik itu tulungrejo atau karangrejo daki saran lewat tulungrejo karena sudah ada pos daki di sana daki dapat,positif
Dwi Setyawan,setahun lalu,Salah satu wisata terbaik di Kediri. Tarif ojek untuk naik ke kawah cukup terjangkau dengan harga 40k/orang dan sudah PP. Tukang ojeknya pun ramah dan tak segan menawarkan bantuan untuk menjadi fotografer😁🙏🏻 …,positif,salah satu wisata baik di diri tarif ojek untuk naik ke kawah cukup jangkau dengan harga korang dan sudah pp tukang ojek pun ramah dan tak segan tawar bantu untuk jadi fotografer,positif
Dian Afriani,Diedit 2 tahun lalu,"Senang banget deh bisa berkunjung ke tempat wisata ini. Sejenak melepas kepenatan akibat aktivitas sehari hari, dan saat bosan pergi ke pantai,  pergi ke gunung adalah solusi nya. Yang menarik dari gunung kelud ini adalah, kita bisa …",positif,senang banget deh bisa kunjung ke tempat wisata ini jenak lepas penat akibat aktivitas hari hari dan saat bosan pergi ke pantai pergi ke gunung adalah solusi nya yang tarik dari gunung kelud ini adalah kita bisa,positif
